NOMBRE_PARADERO;COORDENADAS;RUTA;NETWORK;TIPO_RUTA
La Bodeguita;10.4225, -75.5472;X101;Transcaribe;Pretroncales
Centro;10.4238, -75.5489;X101;Transcaribe;Pretroncales
Chambacú;10.4265, -75.5431;X101;Transcaribe;Pretroncales
Bazurto;10.4172, -75.5284;X101;Transcaribe;Pretroncales
María Auxiliadora;10.4140, -75.5245;X101;Transcaribe;Pretroncales
República del Líbano;10.4122, -75.5201;X101;Transcaribe;Pretroncales
Cuatro Vientos;10.4101, -75.5163;X101;Transcaribe;Pretroncales
Villa Olímpica;10.4080, -75.5125;X101;Transcaribe;Pretroncales
Los Ejecutivos;10.4055, -75.5087;X101;Transcaribe;Pretroncales
Madre Bernarda;10.4032, -75.5051;X101;Transcaribe;Pretroncales
Portal Crespo;10.4010, -75.5020;X101;Transcaribe;Pretroncales
El Prado;10.3995, -75.4992;X101;Transcaribe;Pretroncales
España;10.3978, -75.4965;X101;Transcaribe;Pretroncales
Los Ángeles;10.3960, -75.4938;X101;Transcaribe;Pretroncales
La Castellana;10.3942, -75.4911;X101;Transcaribe;Pretroncales
La Popa;10.3925, -75.4884;X101;Transcaribe;Pretroncales
Delicias;10.3907, -75.4857;X101;Transcaribe;Pretroncales
Lo Amador;10.3889, -75.4830;X101;Transcaribe;Pretroncales
Variante Centro;10.3871, -75.4803;X101;Transcaribe;Pretroncales
Parque Romero;10.3853, -75.4776;X101;Transcaribe;Pretroncales
Colegio Ciudadela 2000;10.3835, -75.4749;X101;Transcaribe;Pretroncales
Estadio de Softball;10.3817, -75.4722;X101;Transcaribe;Pretroncales
La Algodonera;10.3799, -75.4695;X101;Transcaribe;Pretroncales
Clínica Rafael Calvo;10.3781, -75.4668;X101;Transcaribe;Pretroncales
Villa Rubia;10.3763, -75.4641;X101;Transcaribe;Pretroncales
Socorro;10.3745, -75.4614;X101;Transcaribe;Pretroncales
Nueva Jerusalén;10.3727, -75.4587;X101;Transcaribe;Pretroncales
Los Jardines;10.3709, -75.4560;X101;Transcaribe;Pretroncales
Santa Lucía;10.3691, -75.4533;X101;Transcaribe;Pretroncales
El Carmelo;10.3673, -75.4506;X101;Transcaribe;Pretroncales
El Campestre;10.3655, -75.4479;X101;Transcaribe;Pretroncales
Los Corales;10.3637, -75.4452;X101;Transcaribe;Pretroncales
Nuevo Bosque;10.3619, -75.4425;X101;Transcaribe;Pretroncales
Nuevo Oriente;10.3601, -75.4398;X101;Transcaribe;Pretroncales
San Isidro;10.3583, -75.4371;X101;Transcaribe;Pretroncales
Ceballos;10.3565, -75.4344;X101;Transcaribe;Pretroncales
Parque Huellas de Alberto Uribe;10.3932, -75.4958;X101;Transcaribe;Pretroncales
La Bodeguita;10.4225, -75.5472;X102;Transcaribe;Pretroncales
Centro;10.4238, -75.5489;X102;Transcaribe;Pretroncales
Chambacú;10.4265, -75.5431;X102;Transcaribe;Pretroncales
Bazurto;10.4172, -75.5284;X102;Transcaribe;Pretroncales
María Auxiliadora;10.4140, -75.5245;X102;Transcaribe;Pretroncales
República del Líbano;10.4122, -75.5201;X102;Transcaribe;Pretroncales
Cuatro Vientos;10.4101, -75.5163;X102;Transcaribe;Pretroncales
Villa Olímpica;10.4080, -75.5125;X102;Transcaribe;Pretroncales
Los Ejecutivos;10.4055, -75.5087;X102;Transcaribe;Pretroncales
Madre Bernarda;10.4032, -75.5051;X102;Transcaribe;Pretroncales
Portal Crespo;10.4010, -75.5020;X102;Transcaribe;Pretroncales
El Prado;10.3995, -75.4992;X102;Transcaribe;Pretroncales
España;10.3978, -75.4965;X102;Transcaribe;Pretroncales
Los Ángeles;10.3960, -75.4938;X102;Transcaribe;Pretroncales
La Castellana;10.3942, -75.4911;X102;Transcaribe;Pretroncales
La Popa;10.3925, -75.4884;X102;Transcaribe;Pretroncales
Delicias;10.3907, -75.4857;X102;Transcaribe;Pretroncales
Lo Amador;10.3889, -75.4830;X102;Transcaribe;Pretroncales
Variante Centro;10.3871, -75.4803;X102;Transcaribe;Pretroncales
Parque Romero;10.3853, -75.4776;X102;Transcaribe;Pretroncales
Colegio Ciudadela 2000;10.3835, -75.4749;X102;Transcaribe;Pretroncales
Estadio de Softball;10.3817, -75.4722;X102;Transcaribe;Pretroncales
La Algodonera;10.3799, -75.4695;X102;Transcaribe;Pretroncales
Clínica Rafael Calvo;10.3781, -75.4668;X102;Transcaribe;Pretroncales
Villa Rubia;10.3763, -75.4641;X102;Transcaribe;Pretroncales
Socorro;10.3745, -75.4614;X102;Transcaribe;Pretroncales
Nueva Jerusalén;10.3727, -75.4587;X102;Transcaribe;Pretroncales
Los Jardines;10.3709, -75.4560;X102;Transcaribe;Pretroncales
Santa Lucía;10.3691, -75.4533;X102;Transcaribe;Pretroncales
El Carmelo;10.3673, -75.4506;X102;Transcaribe;Pretroncales
Portal Transcaribe;10.3655, -75.4479;X102;Transcaribe;Pretroncales
La Bodeguita;10.4225, -75.5472;X103;Transcaribe;Pretroncales
Centro;10.4238, -75.5489;X103;Transcaribe;Pretroncales
Chambacú;10.4265, -75.5431;X103;Transcaribe;Pretroncales
Bazurto;10.4172, -75.5284;X103;Transcaribe;Pretroncales
María Auxiliadora;10.4140, -75.5245;X103;Transcaribe;Pretroncales
República del Líbano;10.4122, -75.5201;X103;Transcaribe;Pretroncales
Cuatro Vientos;10.4101, -75.5163;X103;Transcaribe;Pretroncales
Villa Olímpica;10.4080, -75.5125;X103;Transcaribe;Pretroncales
Los Ángeles;10.4060, -75.5095;X103;Transcaribe;Pretroncales
Madre Bernarda;10.4032, -75.5051;X103;Transcaribe;Pretroncales
El Prado;10.3995, -75.4992;X103;Transcaribe;Pretroncales
España;10.3978, -75.4965;X103;Transcaribe;Pretroncales
Delicias;10.3907, -75.4857;X103;Transcaribe;Pretroncales
Lo Amador;10.3889, -75.4830;X103;Transcaribe;Pretroncales
Variante Centro;10.3871, -75.4803;X103;Transcaribe;Pretroncales
Parque Romero;10.3853, -75.4776;X103;Transcaribe;Pretroncales
Colegio Ciudadela 2000;10.3835, -75.4749;X103;Transcaribe;Pretroncales
Estadio de Softball;10.3817, -75.4722;X103;Transcaribe;Pretroncales
La Algodonera;10.3799, -75.4695;X103;Transcaribe;Pretroncales
Clínica Rafael Calvo;10.3781, -75.4668;X103;Transcaribe;Pretroncales
Portal Transcaribe;10.3655, -75.4479;X103;Transcaribe;Pretroncales
Terminal de Transporte;10.3932, -75.4958;X104;Transcaribe;Pretroncales
Palmas de Salamanca;10.3915, -75.4932;X104;Transcaribe;Pretroncales
